name	verified_gender	title	honorific_prefix	given_name	family_name	title_in_lords	link	life_span	birth	death	constituency	service_span	commons_service_beginning	commons_service_ending	lords_service_beginning	lords_service_ending	entire_service_beginning	entire_service_ending	house	commons_service_span
Abraham, Mabon (Mr)	m	Mr	Mr	Mabon	Abraham	unknown	mr-mabon-abraham	1842 - May 14, 1922	1842	1922	['Rhondda', 'Rhondda', 'Rhondda', 'Rhondda West']	[' November 24, 1885 - July  1, 1886', ' July  1, 1886 - January 15, 1910', ' January 15, 1910 - December 14, 1918', ' December 14, 1918 - November 30, 1920']	1885	1920	unknown	unknown	1885	1920	commons	35
Abraham, William (Mr)	m	Mr	Mr	William	Abraham	unknown	mr-william-abraham	1840 - August  2, 1915	1840	1915	['Limerick West', 'Cork North East', 'Dublin Harbour']	[' November 24, 1885 - July  4, 1892', ' July  4, 1892 - January 15, 1910', ' June 14, 1910 - August  2, 1915']	1885	1915	unknown	unknown	1885	1915	commons	30
Abse, Leo (Mr)	m	Mr	Mr	Leo	Abse	unknown	mr-leo-abse	April 22, 1917 -	1917	unknown	['Pontypool', 'Torfaen']	[' November 10, 1958 - June  9, 1983', ' June  9, 1983 - June 11, 1987']	1958	1987	unknown	unknown	1958	1987	commons	29
Acheson,  (Viscount)	m	Viscount	Viscount	None	Acheson	1st Baron Acheson of Clancairney 1847 - 1864	viscount-acheson	1806 - 1864	1806	1864	['Armagh']	[' December 10, 1832 - July 29, 1847']	1832	1847	1847	1864	1832	1864	commons_lords	15
Acheson, Archibald (Mr)	m	Mr	Mr	Archibald	Acheson	Baron Acheson of Clancairney June 15, 1864 - April 11, 1922	mr-archibald-acheson	August 19, 1841 - April 11, 1922	1841	1922	['unknown']	['unknown']	unknown	unknown	1864	1922	1864	1922	lords	unknown
Acheson, Archibald (Mr)	m	Mr	Mr	Archibald	Acheson	Baron Worlingham of Beccles June 13, 1835 - March 27, 1849	mr-archibald-acheson-3	August  1, 1776 - March 27, 1849	1776	1849	['unknown']	['unknown']	unknown	unknown	1835	1849	1835	1849	lords	unknown
Acheson, Archibald (Mr)	m	Mr	Mr	Archibald	Acheson	Baron Acheson of Clancairney March 20, 1954 - February 17, 1966	mr-archibald-acheson-2	January 14, 1911 - February 17, 1966	1911	1966	['unknown']	['unknown']	unknown	unknown	1954	1966	1954	1966	lords	unknown
Acheson, Archibald (Mr)	m	Mr	Mr	Archibald	Acheson	Baron Acheson of Clancairney April 11, 1922 - March 20, 1954	mr-archibald-acheson-1	May 26, 1877 - March 20, 1954	1877	1954	['unknown']	['unknown']	unknown	unknown	1922	1954	1922	1954	lords	unknown
Acheson, Charles (Mr)	m	Mr	Mr	Charles	Acheson	Baron Acheson of Clancairney February 17, 1966 - November 11, 1999	mr-charles-acheson	July 13, 1942 -	1942	unknown	['unknown']	['unknown']	unknown	unknown	1966	1999	1966	1999	lords	unknown
Ackers, Benjamin St John (Mr)	m	Mr	Mr	Benjamin St John	Ackers	unknown	mr-benjamin-st-john-ackers	1839 - 1915	1839	1915	['Gloucestershire Western']	[' March 12, 1885 - November 24, 1885']	1885	1885	unknown	unknown	1885	1885	commons	0
Ackers, James (Mr)	m	Mr	Mr	James	Ackers	unknown	mr-james-ackers	1811 - 1868	1811	1868	['Ludlow']	[' June 29, 1841 - July 29, 1847']	1841	1847	unknown	unknown	1841	1847	commons	6
Ackner, Desmond (Mr)	m	Mr	Mr	Desmond	Ackner	Lord Ackner January 30, 1986 - March 21, 2006	mr-desmond-ackner	September 18, 1920 - March 21, 2006	1920	2006	['unknown']	['unknown']	unknown	unknown	1986	2006	1986	2006	lords	unknown
Ackroyd, Thomas (Mr)	m	Mr	Mr	Thomas	Ackroyd	unknown	mr-thomas-ackroyd	1861 - April 26, 1946	1861	1946	['Manchester Moss Side']	[' December  6, 1923 - October 29, 1924']	1923	1924	unknown	unknown	1923	1924	commons	1
Acland, Arthur (Mr)	m	Mr	Mr	Arthur	Acland	unknown	mr-arthur-acland	1847 - October  9, 1926	1847	1926	['Rotherham']	[' November 24, 1885 - February 23, 1899']	1885	1899	unknown	unknown	1885	1899	commons	14
Acland, Charles (Mr)	m	Mr	Mr	Charles	Acland	unknown	mr-charles-acland	1842 - February 18, 1919	1842	1919	['Cornwall Eastern', 'Launceston']	[' April  3, 1882 - November 24, 1885', ' November 24, 1885 - July  4, 1892']	1882	1892	unknown	unknown	1882	1892	commons	10
Acland, Francis (Sir)	m	Sir	Sir	Francis	Acland	unknown	sir-francis-acland	1874 - June  9, 1939	1874	1939	['Richmond', 'Camborne', 'Tiverton', 'Cornwall Northern']	[' January 12, 1906 - January 15, 1910', ' December  3, 1910 - November 15, 1922', ' June 21, 1923 - October 29, 1924', ' July 22, 1932 - June  9, 1939']	1906	1939	unknown	unknown	1906	1939	commons	24
Acland, Richard (Mr)	m	Mr	Mr	Richard	Acland	unknown	mr-richard-acland	November 26, 1906 - November 24, 1990	1906	1990	['Barnstaple', 'Barnstaple', 'Gravesend']	[' November 14, 1935 - September 30, 1942', ' September 30, 1942 - July  5, 1945', ' November 26, 1947 - March 22, 1955']	1935	1955	unknown	unknown	1935	1955	commons	18
Acland, Thomas (Mr)	m	Mr	Mr	Thomas	Acland	unknown	mr-thomas-acland	1809 - 1898	1809	1898	['Somerset Western', 'Devon Northern', 'Wellington']	[' July 24, 1837 - July 29, 1847', ' April  1, 1865 - November 24, 1885', ' November 24, 1885 - July  1, 1886']	1837	1886	unknown	unknown	1837	1886	commons	31
Acland, Thomas (Sir)	m	Sir	Sir	Thomas	Acland	unknown	sir-thomas-acland	1787 - 1871	1787	1871	['Devonshire', 'Devonshire', 'Devon Northern']	[' October 17, 1812 - August  4, 1818', ' March 18, 1820 - July 25, 1831', ' July 24, 1837 - March 27, 1857']	1812	1857	unknown	unknown	1812	1857	commons	37
Acland-Hood, Alexander (Mr)	m	Mr	Mr	Alexander	Acland-Hood	1st Baron St Audries 1911 - 1917	mr-alexander-acland-hood	1853 - 1917	1853	1917	['Wellington']	[' July  4, 1892 - June 22, 1911']	1892	1911	1911	1917	1892	1917	commons_lords	19
Acland-Troyte, Gilbert (Lieut-Colonel Sir)	m	Lieut-Colonel Sir	Lieut-Colonel Sir	Gilbert	Acland-Troyte	unknown	lieut-colonel-sir-gilbert-acland-troyte	1876 - April 27, 1964	1876	1964	['Tiverton']	[' October 29, 1924 - July  5, 1945']	1924	1945	unknown	unknown	1924	1945	commons	21
Acton, John (Sir)	m	Sir	Sir	John	Acton	Baron Acton 1897 - 1902	sir-john-acton	1834 - 1902	1834	1902	['Carlow', 'Bridgnorth']	[' April 28, 1859 - July 11, 1865', ' July 11, 1865 - 1865']	1859	1865	1897	1902	1859	1902	commons_lords	6
Acton, Joseph (Mr)	m	Mr	Mr	Joseph	Acton	unknown	mr-joseph-acton	1803 - 1862	1803	1862	['Wigan']	[' October  3, 1854 - March 27, 1857']	1854	1857	unknown	unknown	1854	1857	commons	3
Acton, William (Colonel)	m	Colonel	Colonel	William	Acton	unknown	colonel-william-acton	1789 - 1854	1789	1854	['Wicklow']	[' June 29, 1841 - 1848']	1841	1848	unknown	unknown	1841	1848	commons	7
Adair, Hugh (Sir)	m	Sir	Sir	Hugh	Adair	unknown	sir-hugh-adair	1815 - March  2, 1902	1815	1902	['Ipswich']	[' July 29, 1847 - January 31, 1874']	1847	1874	unknown	unknown	1847	1874	commons	27
Adair, Robert (Mr)	m	Mr	Mr	Robert	Adair	Baron Waveney April 10, 1873 - February  5, 1886	mr-robert-adair-1	August 25, 1811 - February  5, 1886	1811	1886	['unknown']	['unknown']	unknown	unknown	1873	1886	1873	1886	lords	unknown
Adair, Robert (Mr)	m	Mr	Mr	Robert	Adair	unknown	mr-robert-adair	May 24, 1763 - October  3, 1855	1763	1855	['Camelford']	[' July  7, 1802 - November 24, 1812']	1802	1812	unknown	unknown	1802	1812	commons	10
Adair, Robert (Sir)	m	Sir	Sir	Robert	Adair	unknown	sir-robert-adair	1811 - 1869	1811	1869	['Cambridge', 'Cambridge']	[' July 29, 1847 - July  7, 1852', ' August 18, 1854 - March 27, 1857']	1847	1857	unknown	unknown	1847	1857	commons	8
Adair, Thomas (Mr)	m	Mr	Mr	Thomas	Adair	unknown	mr-thomas-adair	1861 - August 12, 1928	1861	1928	['Glasgow Shettleston']	[' December 14, 1918 - November 15, 1922']	1918	1922	unknown	unknown	1918	1922	commons	4
Adam, Charles (Sir)	m	Sir	Sir	Charles	Adam	unknown	sir-charles-adam	1790 - 1853	1790	1853	['Clackmannanshire and Kinross-shire']	[' December 10, 1832 - June 29, 1841']	1832	1841	unknown	unknown	1832	1841	commons	9
Adam, W.A. (Mr)	m	Mr	Mr	W.A.	Adam	unknown	mr-wa-adam	1865 - October 18, 1940	1865	1940	['Woolwich']	[' January 15, 1910 - December  3, 1910']	1910	1910	unknown	unknown	1910	1910	commons	0
Adam, William (Mr)	m	Mr	Mr	William	Adam	unknown	mr-william-adam	August  2, 1751 - February 17, 1839	1751	1839	['Kincardineshire', 'Clackmannanshire and Kinross-shire']	[' November 29, 1806 - February 26, 1812', ' May 16, 1807 - August 17, 1807']	1806	1807	unknown	unknown	1806	1807	commons	6
Adam, William (Sir)	m	Sir	Sir	William	Adam	unknown	sir-william-adam	1823 - 1881	1823	1881	['Clackmannanshire and Kinross-shire']	[' April 28, 1859 - 1880']	1859	1880	unknown	unknown	1859	1880	commons	21
Adams, Allen (Mr)	m	Mr	Mr	Allen	Adams	unknown	mr-allen-adams	February  1, 1946 - September  5, 1990	1946	1990	['Paisley', 'Paisley North']	[' May  3, 1979 - June  9, 1983', ' June  9, 1983 - September  5, 1990']	1979	1990	unknown	unknown	1979	1990	commons	11
Adams, Charles (Mr)	m	Mr	Mr	Charles	Adams	unknown	mr-charles-adams	November  2, 1753 - November 15, 1821	1753	1821	['Weymouth and Melcombe Regis']	[' May 30, 1801 - October 31, 1812']	1801	1812	unknown	unknown	1801	1812	commons	11
Adams, David (Mr)	m	Mr	Mr	David	Adams	unknown	mr-david-adams-1	1875 - May 19, 1942	1875	1942	['Poplar South Poplar']	[' October 27, 1931 - May 19, 1942']	1931	1942	unknown	unknown	1931	1942	commons	11
Adams, David (Mr)	m	Mr	Mr	David	Adams	unknown	mr-david-adams	1871 - August 16, 1943	1871	1943	['Newcastle upon Tyne West', 'Consett']	[' November 15, 1922 - December  6, 1923', ' November 14, 1935 - August 16, 1943']	1922	1943	unknown	unknown	1922	1943	commons	9
Adams, Edward (Mr)	m	Mr	Mr	Edward	Adams	unknown	mr-edward-adams	1777 - 1842	1777	1842	['Carmarthenshire']	[' December 10, 1832 - January  6, 1835']	1832	1835	unknown	unknown	1832	1835	commons	3
Adams, Gerry (Mr)	m	Mr	Mr	Gerry	Adams	unknown	mr-gerry-adams	October  6, 1948 -	1948	unknown	['Belfast West', 'Belfast West']	[' June  9, 1983 - April  9, 1992', ' May  1, 1997 - ?']	1983	unknown	unknown	unknown	1983	1983	commons	unknown
Adams, Harold (Mr)	m	Mr	Mr	Harold	Adams	unknown	mr-harold-adams	October  8, 1912 - June 25, 1978	1912	1978	['Wandsworth Balham and Tooting', 'Wandsworth Central']	[' July  5, 1945 - February 23, 1950', ' February 23, 1950 - May 26, 1955']	1945	1955	unknown	unknown	1945	1955	commons	10
Adams, Irene (Mrs)	f	Mrs	Mrs	Irene	Adams	Baroness Adams of Craigielea 2005 -	mrs-irene-adams	December 27, 1947 -	1947	unknown	['Paisley North']	[' November 29, 1990 - May  5, 2005']	1990	2005	2005	unknown	1990	2005	commons_lords	15
Adams, James (Mr)	m	Mr	Mr	James	Adams	unknown	mr-james-adams	June  5, 1752 - September 14, 1816	1752	1816	['Harwich', 'Harwich']	[' April  7, 1803 - October 31, 1806', ' March  9, 1807 - May  7, 1807']	1803	1807	unknown	unknown	1803	1807	commons	3
Adams, John (Mr)	m	Mr	Mr	John	Adams	Baron Adams February 16, 1949 - August 23, 1960	mr-john-adams	October 12, 1890 - August 23, 1960	1890	1960	['unknown']	['unknown']	unknown	unknown	1949	1960	1949	1960	lords	unknown
Adams, Phyllis (Mr)	m	Mr	Mr	Phyllis	Adams	Baron Stedman June 25, 1974 - June  8, 1996	mr-phyllis-adams	 - June  8, 1996	unknown	1996	['unknown']	['unknown']	unknown	unknown	1974	1996	1974	1996	lords	unknown
Adams, Samuel (Mr)	m	Mr	Mr	Samuel	Adams	unknown	mr-samuel-adams	1900 - August 13, 1951	1900	1951	['Leeds West']	[' October 27, 1931 - July  5, 1945']	1931	1945	unknown	unknown	1931	1945	commons	14
Adams, William (Mr)	m	Mr	Mr	William	Adams	unknown	mr-william-adams-1	1884 - January  9, 1949	1884	1949	['Hammersmith South']	[' July  5, 1945 - January  9, 1949']	1945	1949	unknown	unknown	1945	1949	commons	4
Adams, William (Mr)	m	Mr	Mr	William	Adams	unknown	mr-william-adams-2	September 30, 1752 - September 21, 1811	1752	1811	['Totnes']	[' July  6, 1801 - December 31, 1811']	1801	1811	unknown	unknown	1801	1811	commons	10
Adams, William (Mr)	m	Mr	Mr	William	Adams	unknown	mr-william-adams	1809 - 1865	1809	1865	['Boston']	[' March 27, 1857 - 1859']	1857	1859	unknown	unknown	1857	1859	commons	2
Adamson, Jennie (Mrs)	f	Mrs	Mrs	Jennie	Adamson	unknown	mrs-jennie-adamson	1882 - April 25, 1962	1882	1962	['Dartford', 'Bexley']	[' November  7, 1938 - July  5, 1945', ' July  5, 1945 - May 10, 1946']	1938	1946	unknown	unknown	1938	1946	commons	8
Adamson, William (Mr)	m	Mr	Mr	William	Adamson	unknown	mr-william-adamson	1863 - February 23, 1936	1863	1936	['Fife Western']	[' December  3, 1910 - October 27, 1931']	1910	1931	unknown	unknown	1910	1931	commons	21
Adamson, William (Mr)	m	Mr	Mr	William	Adamson	unknown	mr-william-adamson-1	1881 - October 25, 1945	1881	1945	['Cannock', 'Cannock']	[' November 15, 1922 - October 27, 1931', ' November 14, 1935 - July  5, 1945']	1922	1945	unknown	unknown	1922	1945	commons	19
Adare,  (Viscount)	m	Viscount	Viscount	None	Adare	1st Baron Kenry 1866 - 1871	viscount-adare	1812 - 1871	1812	1871	['Glamorganshire']	[' July 24, 1837 - 1851']	1837	1851	1866	1871	1837	1871	commons_lords	14
Adderley, Charles (Mr)	m	Mr	Mr	Charles	Adderley	1st Baron Norton 1878 - March 28, 1905	mr-charles-adderley	1814 - March 28, 1905	1814	1905	['Staffordshire Northern']	[' June 29, 1841 - April 16, 1878']	1841	1878	1878	1905	1841	1905	commons_lords	37
Adderley, James (Mr)	m	Mr	Mr	James	Adderley	Lord Norton September 24, 1993 - November 11, 1999	mr-james-adderley	June  2, 1947 -	1947	unknown	['unknown']	['unknown']	unknown	unknown	1993	1999	1993	1999	lords	unknown
Adderley, John (Mr)	m	Mr	Mr	John	Adderley	Lord Norton February 17, 1962 - September 24, 1993	mr-john-adderley	November 24, 1915 - September 24, 1993	1915	1993	['unknown']	['unknown']	unknown	unknown	1962	1993	1962	1993	lords	unknown
Addington, Henry (Mr)	m	Mr	Mr	Henry	Addington	Viscount Sidmouth January 12, 1805 - February 15, 1844	mr-henry-addington	May 30, 1757 - February 15, 1844	1757	1844	['Devizes']	[' April  5, 1784 - December 31, 1805']	1784	1805	1805	1844	1784	1844	commons_lords	21
Addington, John (Mr)	m	Mr	Mr	John	Addington	Viscount Sidmouth May 24, 1962 - November 11, 1999	mr-john-addington-1	October  3, 1914 - January 30, 2005	1914	2005	['unknown']	['unknown']	unknown	unknown	1962	1999	1962	1999	lords	unknown
Addington, John (Mr)	m	Mr	Mr	John	Addington	unknown	mr-john-addington	1759 - June 11, 1818	1759	1818	['Bossiney', 'Harwich']	[' July  6, 1802 - January 12, 1803', ' January  4, 1803 - August  4, 1818']	1802	1818	unknown	unknown	1802	1818	commons	16
Addington, William (Hon.)	m	Hon.	Hon.	William	Addington	Viscount Sidmouth 1864 - October 28, 1913	hon-william-addington	1824 - October 28, 1913	1824	1913	['Devizes']	[' February 18, 1863 - March 25, 1864']	1863	1864	1864	1913	1863	1913	commons_lords	1
Addison, Christopher (Dr)	m	Dr	Dr	Christopher	Addison	Baron Addison 1937 - December 11, 1951	dr-christopher-addison	1869 - December 11, 1951	1869	1951	['Shoreditch Hoxton', 'Shoreditch', 'Swindon', 'Swindon']	[' January 15, 1910 - December 14, 1918', ' December 14, 1918 - November 15, 1922', ' May 30, 1929 - October 27, 1931', ' October 25, 1934 - November 14, 1935']	1910	1935	1937	1951	1910	1951	commons_lords	15
Addison, Christopher (Mr)	m	Mr	Mr	Christopher	Addison	Baron Addison December 11, 1951 - November 18, 1976	mr-christopher-addison	December  8, 1904 - November 18, 1976	1904	1976	['unknown']	['unknown']	unknown	unknown	1951	1976	1951	1976	lords	unknown
Addison, John (Mr)	m	Mr	Mr	John	Addison	unknown	mr-john-addison	1838 - April 22, 1907	1838	1907	['Ashton-under-Lyne']	[' November 24, 1885 - July 13, 1895']	1885	1895	unknown	unknown	1885	1895	commons	10
Addison, Michael (Mr)	m	Mr	Mr	Michael	Addison	Baron Addison November 18, 1976 - March 23, 1992	mr-michael-addison	April 12, 1914 - March 23, 1992	1914	1992	['unknown']	['unknown']	unknown	unknown	1976	1992	1976	1992	lords	unknown
Addison, William (Mr)	m	Mr	Mr	William	Addison	Baron Addison March 23, 1992 - November 11, 1999	mr-william-addison	June 13, 1945 -	1945	unknown	['unknown']	['unknown']	unknown	unknown	1992	1999	1992	1999	lords	unknown
Adeane, Henry (Mr)	m	Mr	Mr	Henry	Adeane	unknown	mr-henry-adeane	1833 - 1870	1833	1870	['Cambridgeshire']	[' March 27, 1857 - July 11, 1865']	1857	1865	unknown	unknown	1857	1865	commons	8
Adeane, Henry (Mr)	m	Mr	Mr	Henry	Adeane	unknown	mr-henry-adeane-1	1789 - May 11, 1847	1789	1847	['Cambridgeshire']	[' August 14, 1830 - December 10, 1832']	1830	1832	unknown	unknown	1830	1832	commons	2
Adeane, Michael (Mr)	m	Mr	Mr	Michael	Adeane	Baron Adeane April 20, 1972 - April 30, 1984	mr-michael-adeane	September 30, 1910 - April 30, 1984	1910	1984	['unknown']	['unknown']	unknown	unknown	1972	1984	1972	1984	lords	unknown
Adebowale, Victor (Mr)	m	Mr	Mr	Victor	Adebowale	Lord Adebowale June 30, 2001 -	mr-victor-adebowale	July 21, 1962 -	1962	unknown	['unknown']	['unknown']	unknown	unknown	2001	unknown	2001	2001	lords	unknown
Adie, Michael (Mr)	m	Mr	Mr	Michael	Adie	Lord Bishop of Guildford November  1, 1977 - September 30, 1994	mr-michael-adie	November 22, 1929 -	1929	unknown	['unknown']	['unknown']	unknown	unknown	1977	1994	1977	1994	lords	unknown
Adkins, William (Sir)	m	Sir	Sir	William	Adkins	unknown	sir-william-adkins	1862 - January 30, 1925	1862	1925	['Middleton', 'Middleton and Prestwich', 'Middleton and Prestwich']	[' January 12, 1906 - December 14, 1918', ' December 14, 1918 - November 15, 1922', ' November 15, 1922 - December  6, 1923']	1906	1923	unknown	unknown	1906	1923	commons	17
Adley, Robert (Mr)	m	Mr	Mr	Robert	Adley	unknown	mr-robert-adley	March  2, 1935 - May 13, 1993	1935	1993	['Bristol North East', 'Christchurch and Lymington', 'Christchurch']	[' June 18, 1970 - February 28, 1974', ' October 10, 1974 - June  9, 1983', ' June  9, 1983 - May 13, 1993']	1970	1993	unknown	unknown	1970	1993	commons	23
Adonis, Andrew (Mr)	m	Mr	Mr	Andrew	Adonis	Lord Adonis May 16, 2005 -	mr-andrew-adonis	February 22, 1963 -	1963	unknown	['unknown']	['unknown']	unknown	unknown	2005	unknown	2005	2005	lords	unknown
Adrian, Edgar (Mr)	m	Mr	Mr	Edgar	Adrian	Baron Adrian January 28, 1955 - August  4, 1977	mr-edgar-adrian	November 30, 1889 - August  4, 1977	1889	1977	['unknown']	['unknown']	unknown	unknown	1955	1977	1955	1977	lords	unknown
Adrian, Richard (Mr)	m	Mr	Mr	Richard	Adrian	Lord Adrian August  4, 1977 - April  4, 1995	mr-richard-adrian	October 16, 1927 - April  4, 1995	1927	1995	['unknown']	['unknown']	unknown	unknown	1977	1995	1977	1995	lords	unknown
Afriyie, Adam (Mr)	m	Mr	Mr	Adam	Afriyie	unknown	mr-adam-afriyie	August  4, 1965 -	1965	unknown	['Windsor']	[' May  5, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Agar, Emanuel (Mr)	m	Mr	Mr	Emanuel	Agar	unknown	mr-emanuel-agar	1781 - August 28, 1866	1781	1866	['Sudbury']	[' May  5, 1807 - October  6, 1812']	1807	1812	unknown	unknown	1807	1812	commons	5
Agar, Henry (Mr)	m	Mr	Mr	Henry	Agar	Baron Dover February 20, 1866 - March 28, 1895	mr-henry-agar	September  2, 1863 - March 28, 1895	1863	1895	['unknown']	['unknown']	unknown	unknown	1866	1895	1866	1895	lords	unknown
Agar, James (Mr)	m	Mr	Mr	James	Agar	unknown	mr-james-agar	September 17, 1818 - December 19, 1896	1818	1896	['Wilton']	[' October  6, 1841 - July  8, 1852']	1841	1852	unknown	unknown	1841	1852	commons	11
